movie_id,cast,crew
19995,"[{'name': 'Sam Worthington', 'order': 0}, {'name': 'Zoe Saldana', 'order': 1}, {'name': 'Sigourney Weaver', 'order': 2}, {'name': 'Stephen Lang', 'order': 3}, {'name': 'Michelle Rodriguez', 'order': 4}]","[{'name': 'James Cameron', 'job': 'Director'}]"
285,"[{'name': 'Johnny Depp', 'order': 0}, {'name': 'Orlando Bloom', 'order': 1}, {'name': 'Keira Knightley', 'order': 2}, {'name': 'Stellan Skarsgård', 'order': 3}, {'name': 'Chow Yun-fat', 'order': 4}]","[{'name': 'Gore Verbinski', 'job': 'Director'}]"
206647,"[{'name': 'Daniel Craig', 'order': 0}, {'name': 'Christoph Waltz', 'order': 1}, {'name': 'Léa Seydoux', 'order': 2}, {'name': 'Ralph Fiennes', 'order': 3}, {'name': 'Monica Bellucci', 'order': 4}]","[{'name': 'Sam Mendes', 'job': 'Director'}]"
49026,"[{'name': 'Christian Bale', 'order': 0}, {'name': 'Michael Caine', 'order': 1}, {'name': 'Gary Oldman', 'order': 2}, {'name': 'Anne Hathaway', 'order': 3}, {'name': 'Tom Hardy', 'order': 4}]","[{'name': 'Christopher Nolan', 'job': 'Director'}]"
49529,"[{'name': 'Taylor Kitsch', 'order': 0}, {'name': 'Lynn Collins', 'order': 1}, {'name': 'Samantha Morton', 'order': 2}, {'name': 'Willem Dafoe', 'order': 3}, {'name': 'Thomas Haden Church', 'order': 4}]","[{'name': 'Andrew Stanton', 'job': 'Director'}]"
559,"[{'name': 'Tobey Maguire', 'order': 0}, {'name': 'Kirsten Dunst', 'order': 1}, {'name': 'James Franco', 'order': 2}, {'name': 'Thomas Haden Church', 'order': 3}, {'name': 'Topher Grace', 'order': 4}]","[{'name': 'Sam Raimi', 'job': 'Director'}]"
38757,"[{'name': 'Zachary Levi', 'order': 0}, {'name': 'Mandy Moore', 'order': 1}, {'name': 'Donna Murphy', 'order': 2}, {'name': 'Ron Perlman', 'order': 3}, {'name': 'M.C. Gainey', 'order': 4}]","[{'name': 'Byron Howard', 'job': 'Director'}, {'name': 'Nathan Greno', 'job': 'Director'}]"
99861,"[{'name': 'Robert Downey Jr.', 'order': 0}, {'name': 'Chris Hemsworth', 'order': 1}, {'name': 'Mark Ruffalo', 'order': 2}, {'name': 'Chris Evans', 'order': 3}, {'name': 'Scarlett Johansson', 'order': 4}]","[{'name': 'Joss Whedon', 'job': 'Director'}]"
767,"[{'name': 'Daniel Radcliffe', 'order': 0}, {'name': 'Rupert Grint', 'order': 1}, {'name': 'Emma Watson', 'order': 2}, {'name': 'Tom Felton', 'order': 3}, {'name': 'Michael Gambon', 'order': 4}]","[{'name': 'David Yates', 'job': 'Director'}]"
209112,"[{'name': 'Ben Affleck', 'order': 0}, {'name': 'Henry Cavill', 'order': 1}, {'name': 'Gal Gadot', 'order': 2}, {'name': 'Amy Adams', 'order': 3}, {'name': 'Jesse Eisenberg', 'order': 4}]","[{'name': 'Zack Snyder', 'job': 'Director'}]"
1452,"[{'name': 'Brandon Routh', 'order': 0}, {'name': 'Kevin Spacey', 'order': 1}, {'name': 'Kate Bosworth', 'order': 2}, {'name': 'James Marsden', 'order': 3}, {'name': 'Parker Posey', 'order': 4}]","[{'name': 'Bryan Singer', 'job': 'Director'}]"
